Date,Open,High,Low,Close,Volume
12-Jun-15,93.96,94.07,93.44,93.74,3748513
11-Jun-15,94.00,94.29,93.89,94.09,3020139
10-Jun-15,93.37,94.08,93.13,93.69,3891995
9-Jun-15,92.80,93.32,92.72,93.07,3411921
8-Jun-15,93.30,93.41,92.74,92.84,4466617
5-Jun-15,93.87,93.98,92.90,93.05,4741155
4-Jun-15,95.01,95.62,94.12,94.14,4793676
3-Jun-15,95.82,96.00,95.15,95.30,3249022
2-Jun-15,95.63,96.35,95.37,96.05,3960876
1-Jun-15,96.59,96.59,95.64,95.97,4406982
29-May-15,97.21,97.24,95.94,96.43,5731660
28-May-15,96.55,97.39,95.93,97.06,5321733
27-May-15,95.99,96.58,95.71,96.38,4028194
26-May-15,96.06,96.28,95.50,95.79,3806207
22-May-15,97.21,97.21,96.23,96.26,3311113
21-May-15,97.40,97.79,96.90,97.20,3406907
20-May-15,98.00,98.33,97.68,97.69,2790344
19-May-15,97.94,98.34,97.57,97.95,3324146
18-May-15,98.01,98.33,97.67,98.05,3328277
15-May-15,97.83,98.44,97.75,98.22,3809492
14-May-15,96.84,98.00,96.74,98.00,4018487
13-May-15,96.27,96.96,96.17,96.41,3739761
12-May-15,96.00,96.38,95.00,96.20,4230685
11-May-15,96.27,97.10,96.12,96.35,3070285
8-May-15,95.91,96.61,95.55,96.55,5231561
7-May-15,95.15,95.67,94.95,95.15,3157394
6-May-15,95.92,95.97,94.95,95.48,3376393
5-May-15,96.02,96.17,95.24,95.42,3502784
4-May-15,95.45,96.25,95.26,95.95,3729350
1-May-15,95.16,95.62,94.76,95.56,4622320
30-Apr-15,94.16,95.33,93.76,95.12,6714433
29-Apr-15,94.22,94.47,93.26,94.38,4963553
28-Apr-15,94.74,94.77,94.02,94.42,5065914
27-Apr-15,95.17,95.27,94.46,94.49,5348543
24-Apr-15,95.71,95.71,94.51,95.17,5381728
23-Apr-15,96.67,97.44,95.45,95.73,7827702
22-Apr-15,97.25,97.64,96.68,97.28,5293609
21-Apr-15,97.20,97.56,96.54,96.78,4184255
20-Apr-15,96.26,96.94,96.24,96.50,4468687
17-Apr-15,95.84,96.12,95.36,95.81,4991649
16-Apr-15,96.53,96.92,96.21,96.45,3699019
15-Apr-15,96.74,97.30,96.50,96.63,3508685
14-Apr-15,95.67,96.80,95.39,96.49,4501659
13-Apr-15,96.01,96.28,95.48,95.53,3772868
10-Apr-15,96.28,96.52,96.15,96.20,2704870
9-Apr-15,95.83,96.63,95.64,96.35,3488127
8-Apr-15,96.10,96.60,95.69,96.03,3879114
7-Apr-15,96.67,96.87,96.19,96.21,3376583
6-Apr-15,95.53,97.09,95.53,96.48,4861823
2-Apr-15,94.78,95.92,94.78,95.69,3586201
1-Apr-15,95.16,95.28,94.17,95.09,4241245
31-Mar-15,96.22,96.59,95.62,95.62,4397584
30-Mar-15,96.28,96.68,95.55,96.52,5021247
27-Mar-15,95.28,96.16,95.18,95.95,4245575
26-Mar-15,95.25,95.98,94.79,95.63,5077708
25-Mar-15,96.43,96.44,95.23,95.26,4965558
24-Mar-15,96.71,97.16,95.81,95.86,7118581
23-Mar-15,95.47,96.12,95.34,95.85,4739420
20-Mar-15,94.20,95.48,94.10,95.34,8810365
19-Mar-15,94.43,94.58,93.70,94.10,4386405
18-Mar-15,93.99,95.05,92.24,94.64,7692072
17-Mar-15,94.94,95.29,94.06,94.13,4507415
16-Mar-15,94.56,95.53,94.48,95.45,4687405
13-Mar-15,94.89,95.59,93.94,94.32,4703849
12-Mar-15,93.96,95.76,93.84,95.71,4454966
11-Mar-15,94.46,94.63,93.45,93.63,4637261
10-Mar-15,95.38,95.60,94.43,94.43,5390258
9-Mar-15,96.00,96.50,95.97,96.04,4810515
6-Mar-15,97.00,97.15,95.94,96.17,6466070
5-Mar-15,97.70,97.83,97.21,97.23,3537435
4-Mar-15,97.72,97.84,97.12,97.36,3885236
3-Mar-15,98.82,98.95,98.12,98.40,4148507
2-Mar-15,98.90,99.30,98.73,99.00,3613572
27-Feb-15,99.22,99.37,98.97,98.98,6461717
26-Feb-15,99.15,99.36,98.98,99.07,5721960
25-Feb-15,99.68,99.82,98.91,99.50,3366098
24-Feb-15,99.45,99.97,99.14,99.58,3389854
23-Feb-15,99.16,99.48,98.74,99.45,3075845
20-Feb-15,98.22,99.07,97.83,99.06,3946209
19-Feb-15,99.30,99.60,98.53,98.72,4186264
18-Feb-15,98.24,99.49,98.16,99.33,3472486
17-Feb-15,98.45,98.71,98.00,98.36,5877815
13-Feb-15,100.15,100.15,98.94,99.13,5642975
